student_id,first_name,last_name,address,class_studying,department_hod,date_of_birth,class_ending_day,class_ending_month,class_ending_year
98,@@@,@@@,"",8B,"HOD SCI","06 Jun 2005",3,06,2027
99,Victor,Hill,"19 Elm St","8B","HOD SCI","2005/06/20",8,6,2024
100,Sara,Kim,"City Center",8C,,,"20-06-2005",13,6,2024
101,Leo,Gray,"101 North Ave","8C","Dr. Adams",2005-07-11,17,07,2026
102,Anna,Clark,"",7A,"Dr. Adams",,22,July,2023
103,Rob,Turner,"Some Address","7A","Dr. Adams","11/07/2005",27,7,2023
104,???,"","Noise","7B","HOD-ENG","Jul-2005",5,7,2025
105,Olivia,Baker,"34 West Rd","7B","HOD-ENG","2005-08-09",9,8,2025
106,,Singh,"No Addr","7C","Dr. Patel","09-08-2005",14,08,2024
107,Max,Fisher,"","7C","Dr. Patel","2005/08/09",19,8,2024
108,Abc,Def,"Garbage",6A,,"08/2005",23,8,2026
109,Isla,Moore,"88 South St","6A","Dr. Green","2005-09-01",28,09,2026
110,Evan,Hall,"",6B,"HOD MATH","01 Sep 2005",4,9,2024
111,Noah,Diaz,"Unknown",6B,"HOD MATH","2005/09/15",9,September,2024
112,NULL,NULL,"XYZ##","6C",,"15-09-2005",12,9,2025
113,Mia,Lo,"7 East St","6C","Dr. Brown","09/2005",18,10,2025
114,Luke,Price,"","5A","Dr. Brown",2005-10-30,22,10,2023
115,Zoey,Hayes,"No City","5A",,"30-10-2005",27,10,2023
116,JJJ,KKK,"Rnd##","5B","HOD SCI","Oct-2005",3,11,2026
117,Arun,Das,"",5B,"HOD SCI","2005/11/05",8,11,2026
118,Kate,Reed,"45 Center St","5C",,"05 Nov 2005",11,11,2024
119,Bob,Ward,"Somewhere2","5C","Dr. King","11/2005",16,12,2024
120,Test,User,"","5D","Dr. King","2005-12-25",21,12,2025
121,John,Doe,"12 Main St","10A","Dr. Smith",2005-01-12,6,01,2023
122,Alice,Green,"45 Oak Rd","10A","Dr. Smith",2005-03-22,11,01,2023
123,Raj,Kumar,"",10B,,03/15/2005,16,01,2025
124,,Lopez,"@@@",10B,"Dr. Gomez","15-03-2005",20,February,2025
125,Sam,NULL,"No Address","10C","Dr. White",,25,02,2024
126,Lena,Brown,"9 Hill Ave","10C",,2005/02/05,6,2,2026
127,Tom,King,"",10D,"HOD-MATH","05 Feb 2005",10,2,2026
128,???,,"Random##","10D","HOD-MATH","02/2005",14,03,2026
129,Mary,Jones,"23 River St","9A","Dr. Clark","2005-04-01",19,3,2025
130,Jack,Stone,,"9A","Dr. Clark","01 Apr 2005",24,3,2025
131,Amir,Hassan,"18 Lake Rd","9B","HOD-ENG","04/10/2005",2,3,2024
132,NaN,NaN,"Gibberish addr",9B,,"2005/04/10",7,04,2024
133,Emily,Wu,"",9C,"Dr. Lee",2005-05-30,11,4,2026
134,Alan,Torres,"Somewhere",,,"30-05-2005",16,4,2026
135,NULL,LN,"Null Street","9C","Dr. Lee","May-2005",20,05,2024
136,Rita,Patel,"5 Pine St","8A","Dr. Young","2005-06-06",25,5,2025
137,Chris,Nguyen,"","8A","Dr. Young",06/06/2005,29,5,2025
138,@@@,@@@,"",8B,"HOD SCI","06 Jun 2005",3,06,2027
139,Victor,Hill,"19 Elm St","8B","HOD SCI","2005/06/20",8,6,2024
140,Sara,Kim,"City Center",8C,,,"20-06-2005",13,6,2024
141,Leo,Gray,"101 North Ave","8C","Dr. Adams",2005-07-11,17,07,2026
142,Anna,Clark,"",7A,"Dr. Adams",,22,July,2023
143,Rob,Turner,"Some Address","7A","Dr. Adams","11/07/2005",27,7,2023
144,???,"","Noise","7B","HOD-ENG","Jul-2005",5,7,2025
145,Olivia,Baker,"34 West Rd","7B","HOD-ENG","2005-08-09",9,8,2025
146,,Singh,"No Addr","7C","Dr. Patel","09-08-2005",14,08,2024
147,Max,Fisher,"","7C","Dr. Patel","2005/08/09",19,8,2024
148,Abc,Def,"Garbage",6A,,"08/2005",23,8,2026
149,Isla,Moore,"88 South St","6A","Dr. Green","2005-09-01",28,09,2026
150,Evan,Hall,"",6B,"HOD MATH","01 Sep 2005",4,9,2024
